clinic,date,type,wait_established,wait_new
JM,9/12/2025,AUDIOLOGY,27.1,49.1
JM,9/12/2025,CARDIOLOGY,11.1,39.9
JM,9/12/2025,DENTAL,11.5,86.7
JM,9/12/2025,DERMATOLOGY,10.8,45.5
JM,9/12/2025,ENDOCRINOLOGY,19.4,65.6
JM,9/12/2025,GASTROENTEROLOGY,13.1,49.6
JM,9/12/2025,MENTAL HEALTH GROUP,15,44
JM,9/12/2025,MENTAL HEALTH INDIVIDUAL,15.7,36.5
JM,9/12/2025,NEUROLOGY,17.4,115.4
JM,9/12/2025,OB/GYN,2.9,23.9
JM,9/12/2025,OCCUPATIONAL THERAPY,16.5,43.4
JM,9/12/2025,ONCOLOGY,1.2,19.3
JM,9/12/2025,OPHTHALMOLOGY,22,90.1
JM,9/12/2025,OPTOMETRY,16.7,86
JM,9/12/2025,ORTHOPEDICS,8,40.4
JM,9/12/2025,PAIN MEDICINE,29.5,89.4
JM,9/12/2025,PHYSICAL THERAPY,31,78
JM,9/12/2025,PODIATRY,32.1,136.3
JM,9/12/2025,PRIMARY CARE,5.3,15.8
JM,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,7.6,18.6
JM,9/12/2025,PTSD SPECIFIC GROUP PROGRAMS,10.7,NA
JM,9/12/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,17.1,NA
JM,9/12/2025,PULMONOLOGY,33.2,60.7
JM,9/12/2025,SLEEP MEDICINE,9.5,43.9
JM,9/12/2025,SUBSTANCE USE DISORDER GROUP,2.1,NA
JM,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,8.9,11.6
JM,9/12/2025,UROLOGY,15.6,51.3
JLP,9/12/2025,AUDIOLOGY,8.1,24
JLP,9/12/2025,CARDIOLOGY,12.1,48.9
JLP,9/12/2025,DERMATOLOGY,10.9,24.3
JLP,9/12/2025,GASTROENTEROLOGY,5.3,32.3
JLP,9/12/2025,MENTAL HEALTH GROUP,1.3,NA
JLP,9/12/2025,MENTAL HEALTH INDIVIDUAL,14.2,0.4
JLP,9/12/2025,NEUROLOGY,18.2,63.5
JLP,9/12/2025,ONCOLOGY,6,23.5
JLP,9/12/2025,OPHTHALMOLOGY,20.2,78.3
JLP,9/12/2025,OPTOMETRY,59.5,189.8
JLP,9/12/2025,ORTHOPEDICS,16.7,46.1
JLP,9/12/2025,PAIN MEDICINE,21.5,34.5
JLP,9/12/2025,PODIATRY,17.9,59.9
JLP,9/12/2025,PRIMARY CARE,11.4,14
JLP,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,4.1,10.3
JLP,9/12/2025,PULMONOLOGY,14.3,27.8
JLP,9/12/2025,SLEEP MEDICINE,78.4,280.1
JLP,9/12/2025,SUBSTANCE USE DISORDER GROUP,0.1,NA
JLP,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2.9,7.2
JLP,9/12/2025,UROLOGY,11.9,40.9
SF,9/12/2025,AUDIOLOGY,5.7,22
SF,9/12/2025,CARDIOLOGY,15.1,24.6
SF,9/12/2025,DENTAL,10,70.9
SF,9/12/2025,DERMATOLOGY,10.3,42.4
SF,9/12/2025,ENDOCRINOLOGY,13.5,43.6
SF,9/12/2025,GASTROENTEROLOGY,8.2,31.4
SF,9/12/2025,MENTAL HEALTH GROUP,2.8,NA
SF,9/12/2025,MENTAL HEALTH INDIVIDUAL,6.3,46.8
SF,9/12/2025,NEUROLOGY,11.4,36
SF,9/12/2025,OB/GYN,10.6,23.6
SF,9/12/2025,OCCUPATIONAL THERAPY,5.6,14.9
SF,9/12/2025,ONCOLOGY,2.9,21.3
SF,9/12/2025,OPHTHALMOLOGY,13.1,54.8
SF,9/12/2025,OPTOMETRY,16.3,48
SF,9/12/2025,ORTHOPEDICS,18,40.1
SF,9/12/2025,PAIN MEDICINE,10.9,27.4
SF,9/12/2025,PHYSICAL THERAPY,10.2,48.7
SF,9/12/2025,PODIATRY,6.6,57.7
SF,9/12/2025,PRIMARY CARE,6.2,18.1
SF,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,1.8,6.7
SF,9/12/2025,PTSD SPECIFIC GROUP PROGRAMS,2.5,NA
SF,9/12/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,10.3,NA
SF,9/12/2025,PULMONOLOGY,29.5,44.3
SF,9/12/2025,SLEEP MEDICINE,22.5,35.5
SF,9/12/2025,SUBSTANCE USE DISORDER GROUP,0.1,NA
SF,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2,46.2
SF,9/12/2025,UROLOGY,9.2,19.6
SF,9/12/2025,WOMEN'S HEALTH,2.9,11.5
TR,9/12/2025,AUDIOLOGY,4.1,11.8
TR,9/12/2025,CARDIOLOGY,13.3,22.7
TR,9/12/2025,DENTAL,17.3,34.3
TR,9/12/2025,DERMATOLOGY,5.5,40
TR,9/12/2025,ENDOCRINOLOGY,8.9,42.8
TR,9/12/2025,GASTROENTEROLOGY,19.4,64.1
TR,9/12/2025,MENTAL HEALTH GROUP,3.1,45
TR,9/12/2025,MENTAL HEALTH INDIVIDUAL,8.1,31.9
TR,9/12/2025,NEUROLOGY,19.1,78.8
TR,9/12/2025,OB/GYN,4.1,24.1
TR,9/12/2025,OCCUPATIONAL THERAPY,17.4,45.8
TR,9/12/2025,ONCOLOGY,9.7,26.8
TR,9/12/2025,OPHTHALMOLOGY,5,14.3
TR,9/12/2025,OPTOMETRY,3.6,42.8
TR,9/12/2025,ORTHOPEDICS,3.1,14.8
TR,9/12/2025,PAIN MEDICINE,11.1,32.3
TR,9/12/2025,PHYSICAL THERAPY,14.1,48.9
TR,9/12/2025,PODIATRY,4.8,21.3
TR,9/12/2025,PRIMARY CARE,7.8,37.6
TR,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,13.1,51.4
TR,9/12/2025,PTSD SPECIFIC GROUP PROGRAMS,3.2,NA
TR,9/12/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,14.6,50
TR,9/12/2025,PULMONOLOGY,14.6,27
