clinic,date,type,wait_established,wait_new
ALM,9/12/2025,AUDIOLOGY,14.8,87.6
ALM,9/12/2025,CARDIOLOGY,13.6,31.4
ALM,9/12/2025,DENTAL,10.8,43.1
ALM,9/12/2025,DERMATOLOGY,13.1,52.4
ALM,9/12/2025,ENDOCRINOLOGY,6.6,29.9
ALM,9/12/2025,GASTROENTEROLOGY,25,197.7
ALM,9/12/2025,MENTAL HEALTH GROUP,2.9,6
ALM,9/12/2025,MENTAL HEALTH INDIVIDUAL,4.2,38.8
ALM,9/12/2025,NEUROLOGY,27.4,126.8
ALM,9/12/2025,OB/GYN,14.5,75.2
ALM,9/12/2025,OCCUPATIONAL THERAPY,24.1,50.6
ALM,9/12/2025,ONCOLOGY,4.6,67
ALM,9/12/2025,ORTHOPEDICS,7.6,31.3
ALM,9/12/2025,PAIN MEDICINE,21.3,45.2
ALM,9/12/2025,PHYSICAL THERAPY,36.7,63.5
ALM,9/12/2025,PRIMARY CARE,6.7,27.9
ALM,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,7,23.1
ALM,9/12/2025,PULMONOLOGY,16.9,62.1
ALM,9/12/2025,SLEEP MEDICINE,6.7,46.2
ALM,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,5.2,11
ALM,9/12/2025,UROLOGY,14.3,57
ALM,9/12/2025,WOMEN'S HEALTH,5.5,24.2
DAL,9/12/2025,AUDIOLOGY,0.5,9
DAL,9/12/2025,CARDIOLOGY,12.1,30.1
DAL,9/12/2025,DENTAL,12.1,40.1
DAL,9/12/2025,ENDOCRINOLOGY,11,58.1
DAL,9/12/2025,GASTROENTEROLOGY,10.6,31.8
DAL,9/12/2025,MENTAL HEALTH GROUP,0.5,7
DAL,9/12/2025,MENTAL HEALTH INDIVIDUAL,5.3,22.8
DAL,9/12/2025,NEUROLOGY,30,153.1
DAL,9/12/2025,OB/GYN,17.7,48.4
DAL,9/12/2025,OCCUPATIONAL THERAPY,11.1,21.3
DAL,9/12/2025,ONCOLOGY,3.1,27.1
DAL,9/12/2025,OPHTHALMOLOGY,9.4,44
DAL,9/12/2025,OPTOMETRY,24.5,95.5
DAL,9/12/2025,ORTHOPEDICS,12.2,31.7
DAL,9/12/2025,PAIN MEDICINE,7.8,40.2
DAL,9/12/2025,PHYSICAL THERAPY,22.4,44
DAL,9/12/2025,PODIATRY,22.7,45.2
DAL,9/12/2025,PRIMARY CARE,5.9,24.7
DAL,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,7.8,26.1
DAL,9/12/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,11.8,72
DAL,9/12/2025,PULMONOLOGY,13.1,40.2
DAL,9/12/2025,SLEEP MEDICINE,8,39.8
DAL,9/12/2025,SUBSTANCE USE DISORDER GROUP,0,NA
DAL,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,3.4,NA
DAL,9/12/2025,UROLOGY,15.9,64.4
MEDB,9/12/2025,AUDIOLOGY,5.1,69.9
MEDB,9/12/2025,CARDIOLOGY,7.2,30.3
MEDB,9/12/2025,DENTAL,2.9,57.9
MEDB,9/12/2025,DERMATOLOGY,2.2,34.1
MEDB,9/12/2025,ENDOCRINOLOGY,13.3,56.2
MEDB,9/12/2025,GASTROENTEROLOGY,34.5,84.3
MEDB,9/12/2025,MENTAL HEALTH GROUP,3.2,NA
MEDB,9/12/2025,MENTAL HEALTH INDIVIDUAL,10.3,43
MEDB,9/12/2025,NEUROLOGY,7.3,39.4
MEDB,9/12/2025,OB/GYN,6.4,71.7
MEDB,9/12/2025,OCCUPATIONAL THERAPY,7.4,26.3
MEDB,9/12/2025,ONCOLOGY,3.5,62.8
MEDB,9/12/2025,OPHTHALMOLOGY,1.2,15.4
MEDB,9/12/2025,OPTOMETRY,1.3,34.4
MEDB,9/12/2025,ORTHOPEDICS,2.9,18.7
MEDB,9/12/2025,PAIN MEDICINE,3.2,21.5
MEDB,9/12/2025,PHYSICAL THERAPY,9.2,40.5
MEDB,9/12/2025,PODIATRY,2.1,31.7
MEDB,9/12/2025,PRIMARY CARE,3,26.5
MEDB,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,10.2,35.4
MEDB,9/12/2025,PTSD SPECIFIC GROUP PROGRAMS,0,NA
MEDB,9/12/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,18.3,NA
MEDB,9/12/2025,PULMONOLOGY,17.9,38.1
MEDB,9/12/2025,SLEEP MEDICINE,43.9,120.7
MEDB,9/12/2025,SUBSTANCE USE DISORDER GROUP,0,NA
MEDB,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2,33.7
MEDB,9/12/2025,UROLOGY,5.3,78.6
MEDB,9/12/2025,WOMEN'S HEALTH,4.7,22.6
OET,9/12/2025,AUDIOLOGY,24.3,87.8
OET,9/12/2025,CARDIOLOGY,16.3,62.1
OET,9/12/2025,DENTAL,33.3,105.5
OET,9/12/2025,DERMATOLOGY,23.9,56.1
OET,9/12/2025,ENDOCRINOLOGY,6.5,12.9
OET,9/12/2025,GASTROENTEROLOGY,30.7,113.7
OET,9/12/2025,MENTAL HEALTH GROUP,2.3,15.8
OET,9/12/2025,MENTAL HEALTH INDIVIDUAL,28.4,29
OET,9/12/2025,NEUROLOGY,11.6,83.9
OET,9/12/2025,OB/GYN,9.9,83
OET,9/12/2025,OCCUPATIONAL THERAPY,36.4,43.8
OET,9/12/2025,ONCOLOGY,2.6,70.8
OET,9/12/2025,OPHTHALMOLOGY,13.8,63.4
OET,9/12/2025,OPTOMETRY,21.7,82.6
OET,9/12/2025,ORTHOPEDICS,8.5,34
OET,9/12/2025,PAIN MEDICINE,20.8,41.6
OET,9/12/2025,PHYSICAL THERAPY,13,34.7
OET,9/12/2025,PODIATRY,21,92.7
OET,9/12/2025,PRIMARY CARE,12.2,53.7
OET,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,7.3,24.7
OET,9/12/2025,PTSD SPECIFIC GROUP PROGRAMS,0.3,NA
OET,9/12/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,11.7,NA
OET,9/12/2025,PULMONOLOGY,38.3,120.7
OET,9/12/2025,SLEEP MEDICINE,7.7,146.6
OET,9/12/2025,SUBSTANCE USE DISORDER GROUP,3,NA
OET,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,6.7,22.2
OET,9/12/2025,UROLOGY,9,93.3
OET,9/12/2025,WOMEN'S HEALTH,16,66.2
TEC,9/12/2025,AUDIOLOGY,3.3,24
TEC,9/12/2025,CARDIOLOGY,6.1,13.2
TEC,9/12/2025,DENTAL,1.4,28.6
TEC,9/12/2025,DERMATOLOGY,10.4,80.3
TEC,9/12/2025,ENDOCRINOLOGY,8.6,52.5
TEC,9/12/2025,GASTROENTEROLOGY,1.7,26.4
TEC,9/12/2025,MENTAL HEALTH GROUP,0,1
TEC,9/12/2025,MENTAL HEALTH INDIVIDUAL,8.5,0.3
TEC,9/12/2025,OB/GYN,1.1,17.5
TEC,9/12/2025,OCCUPATIONAL THERAPY,12,36
TEC,9/12/2025,ONCOLOGY,1.8,27.8
TEC,9/12/2025,OPHTHALMOLOGY,0.3,NA
TEC,9/12/2025,OPTOMETRY,3.2,33
TEC,9/12/2025,ORTHOPEDICS,1.1,20
TEC,9/12/2025,PAIN MEDICINE,12.3,52.8
TEC,9/12/2025,PHYSICAL THERAPY,3.1,25.2
TEC,9/12/2025,PODIATRY,2.2,24.9
TEC,9/12/2025,PRIMARY CARE,1.4,18.9
TEC,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,0.8,0.5
TEC,9/12/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,11,NA
TEC,9/12/2025,PULMONOLOGY,20.8,87.3
TEC,9/12/2025,SLEEP MEDICINE,6.5,22.1
TEC,9/12/2025,SUBSTANCE USE DISORDER GROUP,0,NA
TEC,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2.2,2
TEC,9/12/2025,UROLOGY,1.7,29.1
TEC,9/12/2025,WOMEN'S HEALTH,1,12.5
ALM,9/15/2025,AUDIOLOGY,13.7,91.8
ALM,9/15/2025,CARDIOLOGY,13.8,33.3
ALM,9/15/2025,DENTAL,8.9,44.6
ALM,9/15/2025,DERMATOLOGY,12.5,52.6
ALM,9/15/2025,ENDOCRINOLOGY,6.3,34.3
ALM,9/15/2025,GASTROENTEROLOGY,24.9,196.2
ALM,9/15/2025,MENTAL HEALTH GROUP,3,6
ALM,9/15/2025,MENTAL HEALTH INDIVIDUAL,5.1,42.7
ALM,9/15/2025,NEUROLOGY,25.9,133.7
ALM,9/15/2025,OB/GYN,14.2,77.5
ALM,9/15/2025,OCCUPATIONAL THERAPY,22.6,50.6
ALM,9/15/2025,ONCOLOGY,4.4,63.1
ALM,9/15/2025,ORTHOPEDICS,7.7,31.4
ALM,9/15/2025,PAIN MEDICINE,22,45.9
ALM,9/15/2025,PHYSICAL THERAPY,36.8,64.4
ALM,9/15/2025,PRIMARY CARE,6.5,30
ALM,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,6.7,20.7
ALM,9/15/2025,PULMONOLOGY,17.2,61.3
ALM,9/15/2025,SLEEP MEDICINE,6.6,46
ALM,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,6.2,NA
ALM,9/15/2025,UROLOGY,14.2,56.5
ALM,9/15/2025,WOMEN'S HEALTH,4.9,20.6
DAL,9/15/2025,AUDIOLOGY,0.5,9.4
DAL,9/15/2025,CARDIOLOGY,11.7,29.9
DAL,9/15/2025,DENTAL,12.1,35.5
DAL,9/15/2025,ENDOCRINOLOGY,12,56.6
DAL,9/15/2025,GASTROENTEROLOGY,11.8,33.1
DAL,9/15/2025,MENTAL HEALTH GROUP,0.6,6
DAL,9/15/2025,MENTAL HEALTH INDIVIDUAL,5.3,21.7
DAL,9/15/2025,NEUROLOGY,30.6,144.5
DAL,9/15/2025,OB/GYN,17.7,54.3
DAL,9/15/2025,OCCUPATIONAL THERAPY,8.5,20.3
DAL,9/15/2025,ONCOLOGY,3,25.9
DAL,9/15/2025,OPHTHALMOLOGY,8.9,43.1
DAL,9/15/2025,OPTOMETRY,25,97.8
DAL,9/15/2025,ORTHOPEDICS,12,30.6
DAL,9/15/2025,PAIN MEDICINE,8,41
DAL,9/15/2025,PHYSICAL THERAPY,23.3,42.2
DAL,9/15/2025,PODIATRY,21.4,46.2
DAL,9/15/2025,PRIMARY CARE,5.7,25.3
DAL,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,8,25
DAL,9/15/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,9.5,NA
DAL,9/15/2025,PULMONOLOGY,12.6,37.2
DAL,9/15/2025,SLEEP MEDICINE,8.5,39.2
DAL,9/15/2025,SUBSTANCE USE DISORDER GROUP,0,NA
DAL,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,3,NA
DAL,9/15/2025,UROLOGY,15.6,63
MEDB,9/15/2025,AUDIOLOGY,5,70.6
MEDB,9/15/2025,CARDIOLOGY,7.4,30.8
MEDB,9/15/2025,DENTAL,3,59.6
MEDB,9/15/2025,DERMATOLOGY,2.3,34
MEDB,9/15/2025,ENDOCRINOLOGY,13.8,56.9
MEDB,9/15/2025,GASTROENTEROLOGY,35.3,81.5
MEDB,9/15/2025,MENTAL HEALTH GROUP,4.6,NA
MEDB,9/15/2025,MENTAL HEALTH INDIVIDUAL,10.1,42.5
MEDB,9/15/2025,NEUROLOGY,7,41.9
MEDB,9/15/2025,OB/GYN,6.1,71.4
MEDB,9/15/2025,OCCUPATIONAL THERAPY,7.6,29.4
MEDB,9/15/2025,ONCOLOGY,3.8,61.8
MEDB,9/15/2025,OPHTHALMOLOGY,1.1,14.5
MEDB,9/15/2025,OPTOMETRY,1.3,37.6
MEDB,9/15/2025,ORTHOPEDICS,2.7,16.4
MEDB,9/15/2025,PAIN MEDICINE,2.8,23
MEDB,9/15/2025,PHYSICAL THERAPY,9.4,40.6
MEDB,9/15/2025,PODIATRY,2.3,30.7
MEDB,9/15/2025,PRIMARY CARE,3,27.1
MEDB,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,10,35.4
MEDB,9/15/2025,PTSD SPECIFIC GROUP PROGRAMS,0,NA
MEDB,9/15/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,18.7,NA
MEDB,9/15/2025,PULMONOLOGY,17.2,41.2
MEDB,9/15/2025,SLEEP MEDICINE,44.2,123.9
MEDB,9/15/2025,SUBSTANCE USE DISORDER GROUP,0,NA
MEDB,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2,30
MEDB,9/15/2025,UROLOGY,5.6,79.6
MEDB,9/15/2025,WOMEN'S HEALTH,4.8,22.3
OET,9/15/2025,AUDIOLOGY,24.6,86.4
OET,9/15/2025,CARDIOLOGY,16.9,62.7
OET,9/15/2025,DENTAL,30.6,104.3
OET,9/15/2025,DERMATOLOGY,24.4,55.5
OET,9/15/2025,ENDOCRINOLOGY,5.6,13.1
OET,9/15/2025,GASTROENTEROLOGY,30,116.6
OET,9/15/2025,MENTAL HEALTH GROUP,2.5,11.7
OET,9/15/2025,MENTAL HEALTH INDIVIDUAL,28.4,29.6
OET,9/15/2025,NEUROLOGY,11.9,88.1
OET,9/15/2025,OB/GYN,10,81.2
OET,9/15/2025,OCCUPATIONAL THERAPY,34.8,38.2
OET,9/15/2025,ONCOLOGY,2.1,69.5
OET,9/15/2025,OPHTHALMOLOGY,13,62.9
OET,9/15/2025,OPTOMETRY,21.5,84.4
OET,9/15/2025,ORTHOPEDICS,8.8,33.3
OET,9/15/2025,PAIN MEDICINE,24,42.6
OET,9/15/2025,PHYSICAL THERAPY,12.7,35.2
OET,9/15/2025,PODIATRY,17.9,93.9
OET,9/15/2025,PRIMARY CARE,12.2,54.6
OET,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,7.7,25
OET,9/15/2025,PTSD SPECIFIC GROUP PROGRAMS,0.3,NA
OET,9/15/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,11.2,NA
OET,9/15/2025,PULMONOLOGY,34.5,111
OET,9/15/2025,SLEEP MEDICINE,7.2,144.1
OET,9/15/2025,SUBSTANCE USE DISORDER GROUP,2.9,NA
OET,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,6.2,26.3
OET,9/15/2025,UROLOGY,9.4,107.5
OET,9/15/2025,WOMEN'S HEALTH,16.7,62.2
TEC,9/15/2025,AUDIOLOGY,3.4,24.4
TEC,9/15/2025,CARDIOLOGY,3.2,16.1
TEC,9/15/2025,DENTAL,1.8,30.3
TEC,9/15/2025,DERMATOLOGY,12.1,78.8
TEC,9/15/2025,ENDOCRINOLOGY,8.8,54.8
TEC,9/15/2025,GASTROENTEROLOGY,2.2,25.2
TEC,9/15/2025,MENTAL HEALTH GROUP,0,1
TEC,9/15/2025,MENTAL HEALTH INDIVIDUAL,7.4,0
TEC,9/15/2025,OB/GYN,2.2,17.5
TEC,9/15/2025,OCCUPATIONAL THERAPY,11.6,30.8
TEC,9/15/2025,ONCOLOGY,1.8,28
TEC,9/15/2025,OPHTHALMOLOGY,0.1,NA
TEC,9/15/2025,OPTOMETRY,4.1,36.3
TEC,9/15/2025,ORTHOPEDICS,1.4,20.6
TEC,9/15/2025,PAIN MEDICINE,12,52.7
TEC,9/15/2025,PHYSICAL THERAPY,3.1,23.7
TEC,9/15/2025,PODIATRY,2.2,25.7
TEC,9/15/2025,PRIMARY CARE,1.6,13.4
TEC,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,0.8,0.5
TEC,9/15/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,8.8,NA
TEC,9/15/2025,PULMONOLOGY,17.5,64.9
TEC,9/15/2025,SLEEP MEDICINE,7.2,21.1
TEC,9/15/2025,SUBSTANCE USE DISORDER GROUP,0,NA
TEC,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2.4,3
TEC,9/15/2025,UROLOGY,1.9,28.8
TEC,9/15/2025,WOMEN'S HEALTH,1.2,12.3
ALM,9/16/2025,AUDIOLOGY,13.9,93.3
ALM,9/16/2025,CARDIOLOGY,12.9,34.1
ALM,9/16/2025,DENTAL,8.7,44.7
ALM,9/16/2025,DERMATOLOGY,11.6,50.2
ALM,9/16/2025,ENDOCRINOLOGY,6.5,31.1
ALM,9/16/2025,GASTROENTEROLOGY,24.5,194.8
ALM,9/16/2025,MENTAL HEALTH GROUP,3.4,6
ALM,9/16/2025,MENTAL HEALTH INDIVIDUAL,5.2,42.4
ALM,9/16/2025,NEUROLOGY,26.5,134.5
ALM,9/16/2025,OB/GYN,13.6,77.7
ALM,9/16/2025,OCCUPATIONAL THERAPY,22.7,51.2
ALM,9/16/2025,ONCOLOGY,4.2,65.5
ALM,9/16/2025,ORTHOPEDICS,7.8,31.4
ALM,9/16/2025,PAIN MEDICINE,23.4,47.2
ALM,9/16/2025,PHYSICAL THERAPY,37.3,63.8
ALM,9/16/2025,PRIMARY CARE,6.7,29.4
ALM,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,6.6,20.5
ALM,9/16/2025,PULMONOLOGY,14.9,64
ALM,9/16/2025,SLEEP MEDICINE,5.9,46.4
ALM,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,6.6,NA
ALM,9/16/2025,UROLOGY,13.4,56.2
ALM,9/16/2025,WOMEN'S HEALTH,4.8,23
DAL,9/16/2025,AUDIOLOGY,0.5,9.6
DAL,9/16/2025,CARDIOLOGY,11.6,29
DAL,9/16/2025,DENTAL,11.6,34.6
DAL,9/16/2025,ENDOCRINOLOGY,12.8,56.9
DAL,9/16/2025,GASTROENTEROLOGY,12.1,33.6
DAL,9/16/2025,MENTAL HEALTH GROUP,0.6,6
